Status ==> [500], Response Time ==> [31.983 ms], Date & Time ==> [Fri, 19 May 2023 14:38:13 GMT], Method ==> [PUT], Url ==> [/child] 
Status ==> [500], Response Time ==> [34.777 ms], Date & Time ==> [Fri, 19 May 2023 14:38:22 GMT], Method ==> [PUT], Url ==> [/child] 
Status ==> [500], Response Time ==> [5.034 ms], Date & Time ==> [Fri, 19 May 2023 14:38:24 GMT], Method ==> [PUT], Url ==> [/child] 
Status ==> [500], Response Time ==> [6.370 ms], Date & Time ==> [Fri, 19 May 2023 14:38:30 GMT], Method ==> [PUT], Url ==> [/child] 
Status ==> [200], Response Time ==> [38.279 ms], Date & Time ==> [Fri, 19 May 2023 14:38:54 GMT], Method ==> [PUT], Url ==> [/child] 
Status ==> [200], Response Time ==> [7.139 ms], Date & Time ==> [Fri, 19 May 2023 14:39:00 GMT], Method ==> [PUT], Url ==> [/child] 
Status ==> [200], Response Time ==> [13.794 ms], Date & Time ==> [Fri, 19 May 2023 14:39:05 GMT], Method ==> [GET], Url ==> [/child] 
Status ==> [200], Response Time ==> [3.261 ms], Date & Time ==> [Fri, 19 May 2023 14:39:14 GMT], Method ==> [PUT], Url ==> [/child] 
Status ==> [200], Response Time ==> [10.874 ms], Date & Time ==> [Fri, 19 May 2023 14:39:17 GMT], Method ==> [GET], Url ==> [/child] 
Status ==> [200], Response Time ==> [5.216 ms], Date & Time ==> [Fri, 19 May 2023 14:39:49 GMT], Method ==> [GET], Url ==> [/child/3] 
Status ==> [200], Response Time ==> [36.252 ms], Date & Time ==> [Fri, 19 May 2023 14:43:52 GMT], Method ==> [DELETE], Url ==> [/child] 
Status ==> [200], Response Time ==> [24.146 ms], Date & Time ==> [Fri, 19 May 2023 14:43:57 GMT], Method ==> [GET], Url ==> [/child] 
Status ==> [200], Response Time ==> [4.185 ms], Date & Time ==> [Fri, 19 May 2023 14:44:08 GMT], Method ==> [DELETE], Url ==> [/child] 
Status ==> [200], Response Time ==> [11.434 ms], Date & Time ==> [Fri, 19 May 2023 14:44:13 GMT], Method ==> [GET], Url ==> [/child] 
Status ==> [200], Response Time ==> [34.960 ms], Date & Time ==> [Fri, 19 May 2023 14:44:44 GMT], Method ==> [DELETE], Url ==> [/child] 
Status ==> [500], Response Time ==> [45.851 ms], Date & Time ==> [Fri, 19 May 2023 14:45:19 GMT], Method ==> [DELETE], Url ==> [/child] 
Status ==> [200], Response Time ==> [23.992 ms], Date & Time ==> [Fri, 19 May 2023 14:45:33 GMT], Method ==> [POST], Url ==> [/child] 
Status ==> [200], Response Time ==> [13.090 ms], Date & Time ==> [Fri, 19 May 2023 14:45:37 GMT], Method ==> [GET], Url ==> [/child] 
Status ==> [200], Response Time ==> [2.911 ms], Date & Time ==> [Fri, 19 May 2023 14:45:45 GMT], Method ==> [DELETE], Url ==> [/child] 
Status ==> [200], Response Time ==> [49.415 ms], Date & Time ==> [Fri, 19 May 2023 14:46:12 GMT], Method ==> [POST], Url ==> [/child] 
Status ==> [200], Response Time ==> [16.270 ms], Date & Time ==> [Fri, 19 May 2023 14:46:15 GMT], Method ==> [DELETE], Url ==> [/child] 
Status ==> [500], Response Time ==> [10.303 ms], Date & Time ==> [Fri, 19 May 2023 14:46:23 GMT], Method ==> [DELETE], Url ==> [/child] 
Status ==> [200], Response Time ==> [7.409 ms], Date & Time ==> [Fri, 19 May 2023 14:46:35 GMT], Method ==> [POST], Url ==> [/child] 
Status ==> [200], Response Time ==> [11.081 ms], Date & Time ==> [Fri, 19 May 2023 14:46:42 GMT], Method ==> [GET], Url ==> [/child] 
Status ==> [500], Response Time ==> [6.440 ms], Date & Time ==> [Fri, 19 May 2023 14:46:55 GMT], Method ==> [DELETE], Url ==> [/child] 
Status ==> [200], Response Time ==> [8.814 ms], Date & Time ==> [Fri, 19 May 2023 14:47:05 GMT], Method ==> [GET], Url ==> [/child] 
Status ==> [500], Response Time ==> [235.348 ms], Date & Time ==> [Fri, 19 May 2023 15:42:03 GMT], Method ==> [POST], Url ==> [/class] 
Status ==> [500], Response Time ==> [68.299 ms], Date & Time ==> [Fri, 19 May 2023 15:43:07 GMT], Method ==> [POST], Url ==> [/class] 
Status ==> [201], Response Time ==> [45.638 ms], Date & Time ==> [Fri, 19 May 2023 15:43:54 GMT], Method ==> [POST], Url ==> [/class] 
Status ==> [200], Response Time ==> [0.906 ms], Date & Time ==> [Fri, 19 May 2023 15:44:02 GMT], Method ==> [GET], Url ==> [/class] 
Status ==> [201], Response Time ==> [216.435 ms], Date & Time ==> [Fri, 19 May 2023 15:52:18 GMT], Method ==> [POST], Url ==> [/class] 
Status ==> [201], Response Time ==> [24.419 ms], Date & Time ==> [Fri, 19 May 2023 15:53:07 GMT], Method ==> [POST], Url ==> [/class] 
Status ==> [201], Response Time ==> [83.314 ms], Date & Time ==> [Fri, 19 May 2023 15:55:20 GMT], Method ==> [POST], Url ==> [/class] 
Status ==> [201], Response Time ==> [42.104 ms], Date & Time ==> [Fri, 19 May 2023 15:58:20 GMT], Method ==> [POST], Url ==> [/class] 
Status ==> [500], Response Time ==> [77.035 ms], Date & Time ==> [Fri, 19 May 2023 16:02:08 GMT], Method ==> [POST], Url ==> [/class] 
Status ==> [500], Response Time ==> [27.925 ms], Date & Time ==> [Fri, 19 May 2023 16:07:30 GMT], Method ==> [POST], Url ==> [/class] 
Status ==> [200], Response Time ==> [23.303 ms], Date & Time ==> [Fri, 19 May 2023 16:09:34 GMT], Method ==> [GET], Url ==> [/class] 
Status ==> [201], Response Time ==> [92.810 ms], Date & Time ==> [Fri, 19 May 2023 16:09:42 GMT], Method ==> [POST], Url ==> [/class] 
Status ==> [200], Response Time ==> [5.763 ms], Date & Time ==> [Fri, 19 May 2023 16:09:48 GMT], Method ==> [GET], Url ==> [/class] 
Status ==> [201], Response Time ==> [267.106 ms], Date & Time ==> [Fri, 19 May 2023 16:11:28 GMT], Method ==> [POST], Url ==> [/class] 
Status ==> [200], Response Time ==> [11.581 ms], Date & Time ==> [Fri, 19 May 2023 16:11:32 GMT], Method ==> [GET], Url ==> [/class] 
Status ==> [201], Response Time ==> [241.284 ms], Date & Time ==> [Fri, 19 May 2023 16:21:46 GMT], Method ==> [POST], Url ==> [/class] 
Status ==> [200], Response Time ==> [10.327 ms], Date & Time ==> [Fri, 19 May 2023 16:21:50 GMT], Method ==> [GET], Url ==> [/class] 
Status ==> [201], Response Time ==> [30.063 ms], Date & Time ==> [Fri, 19 May 2023 16:22:24 GMT], Method ==> [POST], Url ==> [/class] 
Status ==> [200], Response Time ==> [3.695 ms], Date & Time ==> [Fri, 19 May 2023 16:22:26 GMT], Method ==> [GET], Url ==> [/class] 
Status ==> [201], Response Time ==> [25.151 ms], Date & Time ==> [Fri, 19 May 2023 16:22:37 GMT], Method ==> [POST], Url ==> [/class] 
Status ==> [201], Response Time ==> [34.986 ms], Date & Time ==> [Fri, 19 May 2023 16:22:43 GMT], Method ==> [POST], Url ==> [/class] 
Status ==> [200], Response Time ==> [6.934 ms], Date & Time ==> [Fri, 19 May 2023 16:22:46 GMT], Method ==> [GET], Url ==> [/class] 
Status ==> [500], Response Time ==> [4.911 ms], Date & Time ==> [Fri, 19 May 2023 16:23:13 GMT], Method ==> [PUT], Url ==> [/class] 
Status ==> [200], Response Time ==> [41.102 ms], Date & Time ==> [Fri, 19 May 2023 16:24:02 GMT], Method ==> [PUT], Url ==> [/class] 
Status ==> [200], Response Time ==> [14.440 ms], Date & Time ==> [Fri, 19 May 2023 16:24:06 GMT], Method ==> [GET], Url ==> [/class] 
Status ==> [200], Response Time ==> [33.534 ms], Date & Time ==> [Fri, 19 May 2023 16:25:14 GMT], Method ==> [DELETE], Url ==> [/class] 
Status ==> [200], Response Time ==> [15.096 ms], Date & Time ==> [Fri, 19 May 2023 16:25:19 GMT], Method ==> [GET], Url ==> [/class] 
Status ==> [200], Response Time ==> [13.990 ms], Date & Time ==> [Fri, 19 May 2023 16:25:30 GMT], Method ==> [DELETE], Url ==> [/class] 
Status ==> [200], Response Time ==> [5.500 ms], Date & Time ==> [Fri, 19 May 2023 16:25:33 GMT], Method ==> [GET], Url ==> [/class] 
